Fecha,IF_Score_Raw,IF_Score_Norm,AE_Error_Raw,AE_Error_Norm,Score_Raw,EWS_Score,EWS_Umbral,EWS_Umbral_Hi,EWS_Umbral_Lo,Alerta,Nivel_Alerta,Regimen
2012-08-01,-0.49031627680070217,0.284267873803472,0.3718490331491829,0.011786380390480267,0.22977157512087368,0.2505942039375353,,,,0,0.0,0.0
2012-09-01,-0.46671990928895934,0.1534429401606156,0.30102912654109537,0.00553276655489227,0.12386090543947094,0.18722752447291574,,,,0,0.0,0.0
2012-10-01,-0.47694546456156606,0.2101363099911369,0.4708370484648032,0.020527324170042768,0.17221451282691808,0.17972101686022604,,,,0,0.0,0.0
2012-11-01,-0.4810171459820485,0.2327108631033638,0.42241527598071704,0.016251533917650725,0.1894189972662212,0.18457000764126838,,,,0,0.0,0.0
2012-12-01,-0.5310792808546727,0.5102694945101458,0.8478924121585723,0.05382246323633382,0.4189800882553834,0.30177505493429113,0.4052271933086993,0.4406308633572277,0.3698235232601708,0,0.0,1.0
2013-01-01,-0.5422886554304417,0.5724174367441828,0.8655368597867293,0.055380521797740494,0.46901005375489435,0.38539255683658846,0.40962638378637783,0.44534476567848613,0.37390800189426954,0,1.0,1.0
2013-02-01,-0.5394912578071903,0.5569078733229308,0.6552922988336823,0.036815285578084805,0.4528893557739616,0.41914095680816543,0.4174161398768199,0.45423534150807415,0.38059693824556573,0,1.0,1.0
2013-03-01,-0.49628325953782015,0.31735051333445263,0.8092279680464123,0.05040827485024648,0.26396206563761143,0.34155151064480205,0.4170117223547196,0.4532690443716719,0.38075440033776725,0,0.0,1.0
2013-04-01,-0.47806588457601873,0.21634823536354658,0.4977563035801263,0.02290437653138665,0.1776594635971146,0.25960548681568557,0.4141281446779382,0.4500032535346321,0.3782530358212442,0,0.0,0.0
2013-05-01,-0.5170364632362594,0.43241214285746493,0.6538139832758582,0.03668474580376776,0.3532666634467255,0.3064360752184343,0.4121864909143948,0.44741514900955615,0.37695783281923345,0,0.0,1.0
2013-06-01,-0.5553854786127197,0.6450299277515833,1.1397949213915632,0.07959834543968344,0.5319436112892034,0.41918984335882903,0.4185932731306165,0.45470542166751937,0.38248112459371364,0,1.0,1.0
2013-07-01,-0.5397409001126,0.5582919608534975,1.0462979548872606,0.07134227802416891,0.46090202428763183,0.44004593383294227,0.4265515370504031,0.4639208584389226,0.3891822156618836,1,1.0,2.0
2013-08-01,-0.4931116008650796,0.29976594082800306,1.0830312184006852,0.07458593727106798,0.25472994011661604,0.3473879369532055,0.4261034702711167,0.4629802656074954,0.3892266749347381,0,0.0,1.0
2013-09-01,-0.49563548048424594,0.3137590430940902,0.6298658161455468,0.03457004957673283,0.25792124439061875,0.30265459066670447,0.4240241429429604,0.4603373089032392,0.3877109769826816,0,0.0,1.0
2013-10-01,-0.4856849565451323,0.2585905247448839,0.41059806898122836,0.015208038483535448,0.20991402749261423,0.25628430907696026,0.4216926004211923,0.45780505942308924,0.38558014141929536,0,0.0,0.0
2013-11-01,-0.5211040583391926,0.45496404026974335,0.4089023786091554,0.015058303849877264,0.36698289298577014,0.3116336010329761,0.42003921691142543,0.45561694448037654,0.38446148934247437,0,0.0,1.0
2013-12-01,-0.5121478004917226,0.40530801427334906,1.0788365941144762,0.07421553914817162,0.3390895192483136,0.3253615601408446,0.41888144797829585,0.4539616273293864,0.3838012686272053,0,0.0,1.0
2014-01-01,-0.5695572138655122,0.7236020352222796,1.0592771994122574,0.0724883849173363,0.593379305161291,0.45937043265204286,0.427603493498372,0.464604638457406,0.39060234853933795,0,2.0,2.0
2014-02-01,-0.5683468231847502,0.7168912870355589,0.9439792019464477,0.06230721994972481,0.5859744736183922,0.5226724531354477,0.4450153138839724,0.4857710440638803,0.40425958370406456,1,2.0,2.0
2014-03-01,-0.5091724888696596,0.38881204533535463,0.6427455309990178,0.035707367696224616,0.3181911098075287,0.4204317814713023,0.4507958865463483,0.4920888216947652,0.40950295139793136,0,1.0,2.0
2014-04-01,-0.5039738780102531,0.35998947676083,0.5342485177290146,0.02612675038391962,0.2932169314854479,0.35682435647831723,0.45056180332818696,0.49182519879096187,0.40929840786541205,0,0.0,1.0
2014-05-01,-0.4984177275843831,0.32918460773120356,0.46435930632978806,0.019955319774963887,0.2673387501399556,0.3120815533091161,0.4489377618725039,0.4901126538536467,0.4077628698913611,0,0.0,1.0
2014-06-01,-0.4952514274532351,0.31162974449453545,0.5779066973765697,0.029981900854414007,0.25530017576651115,0.2836908645378071,0.44874970006604276,0.4900237455432094,0.40747565458887613,0,0.0,0.0
2014-07-01,-0.48963714298394856,0.28050256389010525,0.2781084643836977,0.003508802152036483,0.2251038115424915,0.25439733804014597,0.4487321832412925,0.4899830433407482,0.40748132314183677,0,0.0,0.0
2014-08-01,-0.5199667081529701,0.4486582492378312,0.40271248301147256,0.014511717182307525,0.3618289428267265,0.3081131404334393,0.4482364930740851,0.48848611828112515,0.4079868678670451,0,0.0,1.0
2014-09-01,-0.5035908288318401,0.3578657438039296,0.35968387895070425,0.010712160157055395,0.28843502707455476,0.2982740837539967,0.4483676412721177,0.48849304309854386,0.40824223944569155,0,0.0,1.0
2014-10-01,-0.5307471454692387,0.5084280420180103,0.7614972969213609,0.046193510956510496,0.41598113580571033,0.3571276097798543,0.4496516495663763,0.48911583562561356,0.41018746350713914,0,0.0,1.0
2014-11-01,-0.5204324170143751,0.4512402708502632,0.5943957258419872,0.03143793237839462,0.3672798031558895,0.3622037064678719,0.4485641080340751,0.4878647009982549,0.4092635150698952,0,1.0,1.0
2014-12-01,-0.5517208807830754,0.624712361174762,1.0135924543907648,0.06845428254097012,0.5134607454480037,0.4378322259579381,0.44966449827719485,0.4892080826205326,0.41012091393385713,0,1.0,2.0
2015-01-01,-0.5659119260111024,0.7033915286082875,1.4861293311459087,0.11018073053891263,0.5847493689944124,0.5112907974761753,0.4586266420447719,0.500311860493499,0.41694142359604475,0,2.0,2.0
2015-02-01,-0.5620740006105001,0.6821129849676121,1.481542395683876,0.10977569014219117,0.5676455260025279,0.5394681617393516,0.4733795022764199,0.5183932221418119,0.4283657824110278,1,2.0,2.0
2015-03-01,-0.5594229672414803,0.66741490635808,1.246444153419516,0.08901579803045934,0.5517350846925559,0.5456016232159537,0.48925487657357913,0.537388322206505,0.44112143094065337,1,2.0,2.0
2015-04-01,-0.5129684303744858,0.4098578183863938,0.7443070853577488,0.04467556282554512,0.33682136727422407,0.4412114952450889,0.4940597878587235,0.5428543097233702,0.44526526599407684,0,1.0,2.0
2015-05-01,-0.5254481857918871,0.4790491112219586,0.9055037792180306,0.058909722728554395,0.3950212335232777,0.4181163643841833,0.4969405537862963,0.5460865792383591,0.44779452833423355,0,1.0,1.0
2015-06-01,-0.506155762310164,0.3720864602736604,0.7403648464738602,0.04432745110373916,0.30653465843967614,0.3623255114119297,0.4980395176855973,0.5466358148660498,0.4494432205051447,0,1.0,1.0
2015-07-01,-0.49030037470058935,0.2841797080639358,0.23837255371723493,0.0,0.22734376645114862,0.29483463893153916,0.49797109110691257,0.546327748256866,0.4496144339569591,0,0.0,0.0
2015-08-01,-0.5134964370090974,0.41278523646893023,0.38993653400363193,0.01338356190358996,0.33290490155586216,0.31386977024370066,0.4977084971025566,0.5453917380445196,0.4500252561605937,0,0.0,1.0
2015-09-01,-0.5012576896944339,0.3449301607028939,0.4027980959980274,0.014519277070238304,0.2788479839763628,0.2963588771100317,0.4950157973133106,0.5407909961714774,0.44924059845514375,0,0.0,0.0
2015-10-01,-0.48592662382890434,0.25993039650045796,0.36355948888644857,0.011054388339445363,0.21015519486825546,0.2532570359891436,0.4920720463306131,0.5361851057952056,0.44795898686602054,0,0.0,0.0
2015-11-01,-0.4904057024496515,0.2847636748874287,0.29487082263503284,0.004988969530083566,0.22880873381595968,0.24103288490255165,0.489524971068279,0.5322662010263409,0.4467837411102171,0,0.0,0.0
2015-12-01,-0.5388100361326538,0.5531309877356484,0.7233289834072493,0.04282313241599925,0.45106941667171857,0.3460511507871351,0.48990847255402853,0.5323675724901843,0.44744937261787276,0,0.0,1.0
2016-01-01,-0.5663301901864066,0.7057105034654186,1.0407001202304045,0.07084797214414036,0.5787379972011629,0.462394573994149,0.4943693545705523,0.5376024335385349,0.4511362756025697,0,2.0,2.0
2016-02-01,-0.5218407781471466,0.4590486232014591,0.5161871326341949,0.024531874972068275,0.37214527355558097,0.417269923774865,0.4942677001391277,0.5374842186765734,0.451051181601682,0,1.0,1.0
2016-03-01,-0.5350355772491515,0.5322043204116997,1.2253120449720438,0.087149768377334,0.4431934100048266,0.4302316668898458,0.49760932700749744,0.5411186086099086,0.4541000454050863,0,1.0,2.0
2016-04-01,-0.5157387971149895,0.4252175149503842,0.9266817771141095,0.060779804560007256,0.3523299728723088,0.3912808198810773,0.49841697898218973,0.5409762618625966,0.45585769610178295,0,1.0,1.0
2016-05-01,-0.5426665808363801,0.5745127620576759,1.7873867632965923,0.1367826809791591,0.4869667458419726,0.439123782861525,0.5021159702188824,0.5446796602926025,0.45955228014516225,0,1.0,2.0
2016-06-01,-0.5120539494981893,0.40478767782769903,0.666353483005526,0.03779202188978066,0.33138854664011536,0.38525616475082014,0.500689501946239,0.5430919033235965,0.4582871005688813,0,1.0,1.0
2016-07-01,-0.5196232034843665,0.44675376222500146,0.9674901923684652,0.06438331213952608,0.37027967220790636,0.37776791847936325,0.49781224211089264,0.5398322051667791,0.45579227905500624,0,1.0,1.0
2016-08-01,-0.49262864372116555,0.29708828986018115,0.46326847107170205,0.019858995693373883,0.2416424310268197,0.30970517475309145,0.4975830656777612,0.5398755510540864,0.45529058030143604,0,0.0,1.0
2016-09-01,-0.5004083098501528,0.34022095867379576,0.4529643365601464,0.01894910917655284,0.2759665887743472,0.29283588176371933,0.4976721001451626,0.5400851776486122,0.4552590226417131,0,0.0,0.0
2016-10-01,-0.4882156494234951,0.2726214016464877,0.4603132254969682,0.019598038492230026,0.22201672901563618,0.25742630538967776,0.4976382646400926,0.5400294896019195,0.45524703967826563,0,0.0,0.0
2016-11-01,-0.4731483980175052,0.18908429940446236,0.46330593911961376,0.01986230423632509,0.15523990037083493,0.20633310288025636,0.5004404678510985,0.5447407651624527,0.4561401705397444,0,0.0,0.0
2016-12-01,-0.5116271377348478,0.4024213127255556,0.6266956628916426,0.034290115371802855,0.32879507325480506,0.26756408806753074,0.5007853438789982,0.5457357616447754,0.45583492611322085,0,0.0,0.0
2017-01-01,-0.5197291309620311,0.4473410541134469,0.689838120174208,0.0398657870069047,0.36584600069213846,0.3167050443798346,0.4951742963966989,0.539575340819045,0.45077325197435275,0,0.0,1.0
2017-02-01,-0.5092407692512431,0.3891906110779555,0.9569483114365968,0.06345243188839166,0.3240429752400428,0.3203740098099387,0.48332048871835753,0.5256433976490853,0.4409975797876297,0,0.0,1.0
2017-03-01,-0.5057320661339424,0.3697373688674793,1.1142052558293238,0.07733869989265282,0.311257635072514,0.31581582244122636,0.47971203947744323,0.5218007982818484,0.437623280673038,0,0.0,1.0
2017-04-01,-0.5068976674960934,0.3761997924071003,1.2519302639271177,0.08950023832722166,0.3188598815911246,0.3173378520161755,0.4789327574822272,0.5211273714036173,0.43673814356083707,0,0.0,1.0
2017-05-01,-0.47528068015041325,0.20090627447781725,0.5876780396306556,0.030844740189271847,0.1668939676201082,0.24211590981814185,0.47960158206603365,0.5226669675476829,0.43653619658438425,0,0.0,0.0
2017-06-01,-0.46648636904925855,0.1521481270353925,0.5792997051792232,0.030104907693662804,0.12773948316704656,0.18492769649259422,0.4823781193574366,0.5272834910477501,0.43747274766712313,0,0.0,0.0
2017-07-01,-0.45110309409521526,0.06685890088348617,0.27454532395882064,0.003194165980847162,0.05412595390295837,0.1195268251977763,0.4884927969500034,0.5366851955493426,0.44030039835066426,0,0.0,0.0
2017-08-01,-0.48719446717167586,0.26695967849079305,0.5369834551669409,0.026368253704390394,0.21884139353351253,0.16918410936564443,0.4908822208429493,0.5411574739905648,0.4406069676953338,0,0.0,0.0
2017-09-01,-0.4696401877809937,0.16963378986444944,0.48016773211649333,0.021351252005793978,0.13997728229271836,0.15458069582918138,0.4935794866901919,0.5460843227861921,0.4410746505941917,0,0.0,0.0
2017-10-01,-0.511443289816795,0.4014020078826527,2.3925715989554495,0.19022234847699912,0.359166076001522,0.2568733859153517,0.4919228457319611,0.544803748025815,0.43904194343810726,0,0.0,0.0
2017-11-01,-0.477580885091361,0.21365926108114516,0.6034278723965151,0.032235498477585216,0.1773745085604332,0.21712394723789244,0.4903200137230531,0.5440099697845856,0.43663005766152063,0,0.0,0.0
2017-12-01,-0.5055545465420974,0.3687531500544833,0.5038361596277788,0.023441246370941637,0.29969076931777494,0.2584073582778337,0.4837989150032737,0.5369765128589548,0.43062131714759266,0,0.0,0.0
2018-01-01,-0.5089340247420081,0.38748993278304406,1.2865877914738326,0.09256060375488036,0.32850406697741136,0.2934557126276225,0.47045969043286606,0.5212078716247868,0.41971150924094536,0,0.0,0.0
2018-02-01,-0.5207471814943643,0.45298541413077925,1.494584651427407,0.11092736111821175,0.3845738035282658,0.3390147580779441,0.45402410896988654,0.5011498130413826,0.4068984048983904,0,0.0,1.0
