Fecha,RIN_Millones_USD,Tipo_Cambio_PEN,IPC_Indice,PBI_Mensual_Indice,Exportaciones_MM,M2_Soles_MM
2005-01-01,13125.0,3.26821428571429,0.100149504761279,79.9791610934839,1264.05401593965,48144.100444
2005-02-01,13328.0,3.258825,-0.2346203515206,80.1344599066734,1136.996685324,49780.237951
2005-03-01,13555.0,3.25930952380952,0.650196153407443,81.3964129865707,1347.4939257933,50402.34252
2005-04-01,13629.0,3.25795,0.118823702025535,87.0734470255749,1257.79470001206,50469.331817
2005-05-01,14016.0,3.25488095238095,0.12633045900575,92.1414551036507,1354.77868169588,50697.712612
2005-06-01,13818.0,3.25276190476191,0.263742227071237,88.4557729993011,1421.9409395498,51708.647197
2005-07-01,15283.0,3.25205263157895,0.104611293091209,87.2766006292957,1558.40937105468,54511.454981
2005-08-01,13625.0,3.25734090909091,-0.179605723612108,82.9894831129745,1491.78541706328,55462.20465
2005-09-01,13695.0,3.30752272727273,-0.0942785605012846,82.0878665294671,1505.14595931683,58206.498918
2005-10-01,13547.0,3.38078571428571,0.144780473631634,84.8027239326644,1468.87175660604,57875.759664
2005-11-01,13543.0,3.37607142857143,0.0680447024625712,90.4951176179881,1546.31252613965,59930.113241
2005-12-01,14097.0,3.42428571428571,0.41922503429934,91.5459266918293,2014.10028855299,61814.174762
2006-01-01,14139.0,3.39329545454545,0.499608846028134,85.6590424919578,1430.55904426842,61915.767191
2006-02-01,13989.0,3.288725,0.548277704216064,84.6285220854951,1448.14988057106,62765.164741
2006-03-01,14472.0,3.33932608695652,0.457162631141614,91.2286928400679,1745.90574479128,63240.55383
2006-04-01,14493.0,3.33152777777778,0.510007190746034,91.7780023638019,1821.84002357358,63802.327855
2006-05-01,14235.0,3.27904090909091,-0.527951846100242,97.7619063414799,1944.42194844007,63097.047177
2006-06-01,14415.0,3.26406428571429,-0.132537237586119,95.072899809632,2043.00319899547,64634.043839
2006-07-01,14638.0,3.2431,-0.17044035636352,92.9616001230902,2363.31120785699,66938.500055
2006-08-01,15379.0,3.23438636363636,0.13934667530607,91.5547627296281,2018.63937339073,69220.782257
2006-09-01,15172.0,3.24773809523809,0.0273681222498222,88.769329600051,2168.103851789,70965.416396
2006-10-01,15673.0,3.23745454545455,0.0437894195875647,92.1822066698178,2070.53980242518,72696.764655
2006-11-01,16473.0,3.22209523809524,-0.282155165945056,94.7874212319493,2191.35468925379,75719.103748
2006-12-01,17275.0,3.20531578947368,0.0258117661108955,99.4183587606665,2584.31847948273,80610.231
2007-01-01,17849.0,3.1925,0.00942787065693368,89.9525619891584,1747.48280880665,82579.596567
2007-02-01,18136.0,3.1903,0.25946729961008,88.6681022105583,1907.75677722201,85842.029725
2007-03-01,18427.0,3.18561363636364,0.348835470333003,96.7214346263446,2099.54119706819,89837.639732
2007-04-01,19704.0,3.17828947368421,0.178206800195308,96.6364193147801,2119.74986313625,94523.790386
2007-05-01,21271.0,3.16752272727273,0.491871629879991,104.746678845017,2144.56329548449,96594.862494
2007-06-01,21528.0,3.1702,0.469692062317829,101.254568601752,2455.69370429105,100303.463086
2007-07-01,23333.0,3.16090909090909,0.475545229813074,102.545139242961,2712.29646926448,103764.408333
2007-08-01,24069.0,3.15818181818182,0.136907638047225,100.128668441286,2373.98200623459,101243.402325
2007-09-01,22827.0,3.135975,0.612500624383494,100.240420653565,2553.70044268305,103930.734467
2007-10-01,24890.0,3.01986363636364,0.314014669403244,103.151330807994,2667.95852086117,107949.649152
2007-11-01,26348.0,3.001,0.111007166747877,104.09969689671,2358.0304105263,107019.319843
2007-12-01,27689.0,2.980775,0.453104937624353,111.854978369874,2953.26363132579,109409.208231
2008-01-01,30737.0,2.95031818181818,0.222046237637442,98.5124879181719,2551.83991449136,107969.459903
2008-02-01,32306.0,2.9055,0.907018256710701,100.676634145884,2483.05284646799,114879.933722
2008-03-01,33576.0,2.81092105263158,1.04185066180591,104.088023197255,2768.97852387066,117525.068351
2008-04-01,35625.0,2.74786363636364,0.154220132610723,110.247082044336,2692.24944204263,121842.305483
2008-05-01,34859.0,2.80457894736842,0.369491179954231,112.085329362857,2879.37466255928,123957.302777
2008-06-01,35518.0,2.89161904761905,0.769602394432851,112.179938878862,2812.69683436726,123791.270216
2008-07-01,34843.0,2.84842857142857,0.555471918982357,112.30111638353,3012.57502114866,118785.43825
